start training!
epoch: 210 =>  train emotion accuracy: 0.9645, train depression accuracy: 0.0093 | test emotion acc: 0.8621, test depression mae: 8.4510, test depression rmse : 11.7390
epoch: 211 => train emotion accuracy: 0.9654, train depression accuracy: 0.0070
epoch: 212 => train emotion accuracy: 0.9652, train depression accuracy: 0.0056
epoch: 213 => train emotion accuracy: 0.9671, train depression accuracy: 0.0040
epoch: 214 => train emotion accuracy: 0.9665, train depression accuracy: 0.0073
epoch: 215 => train emotion accuracy: 0.9658, train depression accuracy: 0.0062
epoch: 216 => train emotion accuracy: 0.9668, train depression accuracy: 0.0058
epoch: 217 => train emotion accuracy: 0.9659, train depression accuracy: 0.0051
epoch: 218 => train emotion accuracy: 0.9669, train depression accuracy: 0.0041
epoch: 219 => train emotion accuracy: 0.9673, train depression accuracy: 0.0043
epoch: 220 =>  train emotion accuracy: 0.9668, train depression accuracy: 0.0055 | test emotion acc: 0.8618, test depression mae: 7.2750, test depression rmse : 9.1641
epoch: 221 => train emotion accuracy: 0.9654, train depression accuracy: 0.0049
epoch: 222 => train emotion accuracy: 0.9678, train depression accuracy: 0.0051
epoch: 223 => train emotion accuracy: 0.9688, train depression accuracy: 0.0044
epoch: 224 => train emotion accuracy: 0.9658, train depression accuracy: 0.0043
epoch: 225 => train emotion accuracy: 0.9686, train depression accuracy: 0.0039
epoch: 226 => train emotion accuracy: 0.9687, train depression accuracy: 0.0045
epoch: 227 => train emotion accuracy: 0.9672, train depression accuracy: 0.0039
epoch: 228 => train emotion accuracy: 0.9671, train depression accuracy: 0.0040
epoch: 229 => train emotion accuracy: 0.9677, train depression accuracy: 0.0037
epoch: 230 =>  train emotion accuracy: 0.9694, train depression accuracy: 0.0040 | test emotion acc: 0.8625, test depression mae: 7.5266, test depression rmse : 9.6037
epoch: 231 => train emotion accuracy: 0.9678, train depression accuracy: 0.0032
epoch: 232 => train emotion accuracy: 0.9693, train depression accuracy: 0.0048
epoch: 233 => train emotion accuracy: 0.9676, train depression accuracy: 0.0039
epoch: 234 => train emotion accuracy: 0.9670, train depression accuracy: 0.0037
epoch: 235 => train emotion accuracy: 0.9675, train depression accuracy: 0.0028
epoch: 236 => train emotion accuracy: 0.9676, train depression accuracy: 0.0042
epoch: 237 => train emotion accuracy: 0.9695, train depression accuracy: 0.0045
epoch: 238 => train emotion accuracy: 0.9684, train depression accuracy: 0.0044
epoch: 239 => train emotion accuracy: 0.9681, train depression accuracy: 0.0041
epoch: 240 =>  train emotion accuracy: 0.9684, train depression accuracy: 0.0037 | test emotion acc: 0.8580, test depression mae: 7.4264, test depression rmse : 9.2472
epoch: 241 => train emotion accuracy: 0.9686, train depression accuracy: 0.0032
epoch: 242 => train emotion accuracy: 0.9658, train depression accuracy: 0.0049
epoch: 243 => train emotion accuracy: 0.9693, train depression accuracy: 0.0045
epoch: 244 => train emotion accuracy: 0.9682, train depression accuracy: 0.0039
epoch: 245 => train emotion accuracy: 0.9694, train depression accuracy: 0.0026
epoch: 246 => train emotion accuracy: 0.9688, train depression accuracy: 0.0032
epoch: 247 => train emotion accuracy: 0.9682, train depression accuracy: 0.0029
epoch: 248 => train emotion accuracy: 0.9696, train depression accuracy: 0.0039
epoch: 249 => train emotion accuracy: 0.9702, train depression accuracy: 0.0040
epoch: 250 =>  train emotion accuracy: 0.9733, train depression accuracy: 0.0037 | test emotion acc: 0.8700, test depression mae: 6.9302, test depression rmse : 8.5445
epoch: 251 => train emotion accuracy: 0.9775, train depression accuracy: 0.0033
epoch: 252 => train emotion accuracy: 0.9782, train depression accuracy: 0.0027
epoch: 253 => train emotion accuracy: 0.9795, train depression accuracy: 0.0031
epoch: 254 => train emotion accuracy: 0.9800, train depression accuracy: 0.0027
epoch: 255 => train emotion accuracy: 0.9792, train depression accuracy: 0.0030
epoch: 256 => train emotion accuracy: 0.9821, train depression accuracy: 0.0029
epoch: 257 => train emotion accuracy: 0.9811, train depression accuracy: 0.0031
epoch: 258 => train emotion accuracy: 0.9814, train depression accuracy: 0.0035
epoch: 259 => train emotion accuracy: 0.9812, train depression accuracy: 0.0032
epoch: 260 =>  train emotion accuracy: 0.9833, train depression accuracy: 0.0033 | test emotion acc: 0.8723, test depression mae: 6.8206, test depression rmse : 8.5078
epoch: 261 => train emotion accuracy: 0.9820, train depression accuracy: 0.0029
epoch: 262 => train emotion accuracy: 0.9815, train depression accuracy: 0.0034
epoch: 263 => train emotion accuracy: 0.9819, train depression accuracy: 0.0034
epoch: 264 => train emotion accuracy: 0.9832, train depression accuracy: 0.0032
epoch: 265 => train emotion accuracy: 0.9836, train depression accuracy: 0.0034
epoch: 266 => train emotion accuracy: 0.9836, train depression accuracy: 0.0029
epoch: 267 => train emotion accuracy: 0.9843, train depression accuracy: 0.0029
epoch: 268 => train emotion accuracy: 0.9853, train depression accuracy: 0.0028
epoch: 269 => train emotion accuracy: 0.9839, train depression accuracy: 0.0023
epoch: 270 =>  train emotion accuracy: 0.9843, train depression accuracy: 0.0026 | test emotion acc: 0.8758, test depression mae: 7.4287, test depression rmse : 9.0254
epoch: 271 => train emotion accuracy: 0.9837, train depression accuracy: 0.0027
epoch: 272 => train emotion accuracy: 0.9844, train depression accuracy: 0.0031
epoch: 273 => train emotion accuracy: 0.9847, train depression accuracy: 0.0027
epoch: 274 => train emotion accuracy: 0.9842, train depression accuracy: 0.0027
epoch: 275 => train emotion accuracy: 0.9849, train depression accuracy: 0.0031
epoch: 276 => train emotion accuracy: 0.9853, train depression accuracy: 0.0032
epoch: 277 => train emotion accuracy: 0.9847, train depression accuracy: 0.0027
epoch: 278 => train emotion accuracy: 0.9842, train depression accuracy: 0.0031
epoch: 279 => train emotion accuracy: 0.9844, train depression accuracy: 0.0030
epoch: 280 =>  train emotion accuracy: 0.9853, train depression accuracy: 0.0029 | test emotion acc: 0.8754, test depression mae: 7.0933, test depression rmse : 8.6583
epoch: 281 => train emotion accuracy: 0.9853, train depression accuracy: 0.0027
epoch: 282 => train emotion accuracy: 0.9863, train depression accuracy: 0.0031
epoch: 283 => train emotion accuracy: 0.9855, train depression accuracy: 0.0030
epoch: 284 => train emotion accuracy: 0.9851, train depression accuracy: 0.0024
epoch: 285 => train emotion accuracy: 0.9850, train depression accuracy: 0.0025
epoch: 286 => train emotion accuracy: 0.9853, train depression accuracy: 0.0033
epoch: 287 => train emotion accuracy: 0.9849, train depression accuracy: 0.0028
epoch: 288 => train emotion accuracy: 0.9856, train depression accuracy: 0.0030
epoch: 289 => train emotion accuracy: 0.9855, train depression accuracy: 0.0036
epoch: 290 =>  train emotion accuracy: 0.9863, train depression accuracy: 0.0029 | test emotion acc: 0.8768, test depression mae: 7.3396, test depression rmse : 8.9520
epoch: 291 => train emotion accuracy: 0.9854, train depression accuracy: 0.0023
epoch: 292 => train emotion accuracy: 0.9857, train depression accuracy: 0.0025
epoch: 293 => train emotion accuracy: 0.9864, train depression accuracy: 0.0030
epoch: 294 => train emotion accuracy: 0.9870, train depression accuracy: 0.0029
epoch: 295 => train emotion accuracy: 0.9854, train depression accuracy: 0.0030
epoch: 296 => train emotion accuracy: 0.9862, train depression accuracy: 0.0026
epoch: 297 => train emotion accuracy: 0.9866, train depression accuracy: 0.0030
epoch: 298 => train emotion accuracy: 0.9863, train depression accuracy: 0.0025
epoch: 299 => train emotion accuracy: 0.9870, train depression accuracy: 0.0028
best accuracy: 0.8768
